Category,Composition,Artist,Count,,,
Technique,Duo,Able Noise,10,,,
Language,Duo,Able Noise,5,,,
Memory,Duo,Able Noise,1,,,
Technique,Duo,AKA HEX (Aïsah Devi & Slikback,9,,,
Language,Duo,AKA HEX (Aïsah Devi & Slikback,10,,,
Memory,Duo,AKA HEX (Aïsah Devi & Slikback,2,,,
Technique,Solo,Alec Mateo,10,,,
Language,Solo,Alec Mateo,5,,,
Memory,Solo,Alec Mateo,4,,,
Technique,Solo,Alessandro Cortini,9,,,
Language,Solo,Alessandro Cortini,3,,,
Memory,Solo,Alessandro Cortini,6,,,
Technique,Solo,Alvin Curan,17,,,
Language,Solo,Alvin Curan,2,,,
Memory,Solo,Alvin Curan,8,,,
Technique,Solo,alys(alys)alys,2,,,
Language,Solo,alys(alys)alys,7,,,
Memory,Solo,alys(alys)alys,4,,,
Technique,Trio,"Angelsen, Moroz  & Tomala Membranes",14,,,
Language,Trio,"Angelsen, Moroz  & Tomala Membranes",1,,,
Memory,Trio,"Angelsen, Moroz  & Tomala Membranes",5,,,
Technique,Duo,Angry Blackmen,4,,,
Language,Duo,Angry Blackmen,5,,,
Memory,Duo,Angry Blackmen,11,,,
Technique,Trio,Animistic Beliefs & Jeisson Drenth,11,,,
Language,Trio,Animistic Beliefs & Jeisson Drenth,2,,,
Memory,Trio,Animistic Beliefs & Jeisson Drenth,9,,,
Technique,Solo,Anja Lauvdal,7,,,
Language,Solo,Anja Lauvdal,4,,,
Memory,Solo,Anja Lauvdal,11,,,
Technique,Solo,Anna von Hausswolff,6,,,
Language,Solo,Anna von Hausswolff,5,,,
Memory,Solo,Anna von Hausswolff,7,,,
Technique,Trio,Antonia Nowacka ft. Anne La Berge & Doriene Marselje,11,,,
Language,Trio,Antonia Nowacka ft. Anne La Berge & Doriene Marselje,8,,,
Memory,Trio,Antonia Nowacka ft. Anne La Berge & Doriene Marselje,5,,,
Technique,Solo,Arooj Aftab,11,,,
Language,Solo,Arooj Aftab,7,,,
Memory,Solo,Arooj Aftab,8,,,
Technique,Duo,aya & MFO,12,,,
Language,Duo,aya & MFO,10,,,
Memory,Duo,aya & MFO,4,,,
Technique,Solo,Backxwash,5,,,
Language,Solo,Backxwash,3,,,
Memory,Solo,Backxwash,11,,,
Technique,Duo,Bassvictim,4,,,
Language,Duo,Bassvictim,7,,,
Memory,Duo,Bassvictim,7,,,
Technique,Solo,Belia Winnewisser,7,,,
Language,Solo,Belia Winnewisser,4,,,
